retailer,name,address,region,postal_code,latitude,longitude,maps_url,is_active,fase,casa_loy_blanco,casa_loy_reposado,casa_loy_cristalino,casa_loy_anejo,casa_loy_piedra_y_agave_blanco,taddel_plata,taddel_reposado,taddel_cristalino,tierra_zafiro_blanco,tierra_zafiro_blanco_100_pure,tierra_zafiro_reposado,tierra_zafiro_cristalino,creado_en,casa_loy_piedra_y_agave_reposado,pdv,cdc,cl,td,tz
90s Night Club,,"Av. Eugenio Garza Sada Sur 2640, Tecnologico Distrito Tec, CP 64880, Monterrey NL",mx,64880,25.6499113,-100.2943199,https://maps.app.goo.gl/57vLMHj1h7oxuD3c7,true,Alejandro Carranza,false,false,true,false,false,true,false,true,false,false,true,false,,false,false,true,,,
ATOTONILCO LICORE STORE,,"Porfirio Dóaz, 47750 Atotonilco el Alto, Jal.",mx,47750,20.5531438,-102.5017623,https://maps.app.goo.gl/zfrA2ezCDtJdNzW26,true,Julio Delgado,true,true,true,true,true,false,false,false,true,false,true,false,,false,true,false,,,
Barrio Fino ,,"Av. Eloy Cavazos 2700, Contry, CP 67170, Guadalupe NL",mx,67170,25.660276,-100.2568494,https://maps.app.goo.gl/uSXNQb8MGnfz9D149,true,Alejandro Carranza,false,false,true,false,false,true,false,true,false,false,false,false,,false,false,true,,,
Beer Store,,"Calle Vicente Guierro 63 San Jose El Alto, tepozotlan",mx,54605,19.7184881,-99.2205251,https://maps.app.goo.gl/uZeuNhJG2ariXh6y5,true,Victor Curiel,false,false,true,false,false,false,false,false,true,false,false,false,,false,true,false,,,
BODEGAS ALIANZA,HUAYACAN,"Sóper Manzana 307, MZ 04, Lt-1-07, Avenida Huayacón, Alfredo V. Bonfil, Benito Juórez, Cancón",mx,77560,21.1022863,-86.8605189,https://maps.app.goo.gl/scXsocpwEgYN4mLb7,true,Jose Zarate,true,false,true,false,false,false,false,true,false,false,false,false,,false,true,false,,,
Cantera Eventos,,"Carr Nacional 2700, Valle de Cristal CP 64986, Monterrey NL",mx,64986,25.5305975,-100.2147235,https://maps.app.goo.gl/f2msxBrcrpE7TaDo8,true,Alejandro Carranza,false,false,false,false,false,false,false,false,true,false,false,false,,false,false,true,,,
Casa Cruz,Progreso,"Calle Morelos # 30 Col. Progreso Industrial, Nicolas Romero",mx,54460,19.6323423,-99.3533889,https://maps.app.goo.gl/S4S9seEpF1HNo8BJ6,true,Victor Curiel,true,false,true,true,false,false,false,false,false,false,false,true,,false,true,false,,,
Casa Gala,Centro,Calle Lopez  # 105 Col Centro CDMX,mx,06000,19.4290541,-99.1427811,https://maps.app.goo.gl/2kgNMgLcj4wZV8oc6,true,Victor Curiel,false,false,false,false,false,false,false,false,true,false,true,true,,false,true,false,,,
Celca,Azcapotzalco,"Nte. 81 218, Claveria, Azcapotzalco, 02080 Ciudad de Móxico, CDMX",mx,02080,19.4675366,-99.1787007,https://maps.app.goo.gl/RNwzES8J6ouL99Ur7,true,Victor Curiel,false,true,true,false,false,false,false,false,false,false,false,false,,false,true,false,,,
ChavoRucos Night,,"Jose Maria Morelos 1099, Barrio Antiguo Centro, CP 64000, Monterrey NL",mx,64000,25.6660892,-100.307391,https://maps.app.goo.gl/wxHGNU7rxfkJYPdPA,true,Alejandro Carranza,false,false,true,false,false,true,false,true,false,false,false,false,,false,false,true,,,
