id,retailer,name,address,phone,region,postal_code,latitude,longitude,maps_url,is_active,created_at,kam,brands,categories
04cef59e-87a7-4e47-9f7c-2d856b4366a6,Vinos America,Sucursal Landmark,"Paseo de los Virreyes 45, Zapopan, Jalisco, MX",+52 (33) 3648 1010,mx,45116,20.7015,-103.4147,"https://maps.google.com/?q=Paseo+de+los+Virreyes+45,+Zapopan,+Jalisco",true,36:11.2,MarÃ­a LÃ³pez,"[""casa-loy"",""tierra-zafiro""]","[""Blanco"",""Reposado"",""Cristalino""]"
2e3d8b31-dcdc-4989-86db-7586e79f56e4,La Playa,Sucursal Providencia,"Av. Providencia 2345, Guadalajara, Jalisco, MX",+52 (33) 3641 4590,mx,44630,20.6908,-103.3815,"https://maps.google.com/?q=Av.+Providencia+2345,+Guadalajara,+Jalisco",true,36:11.2,Juan PÃ©rez,"[""casa-loy"",""taddel""]","[""Blanco"",""Reposado"",""AÃ±ejo""]"
,La Cava,Concordia,"Av. Concordia 3177-int103, Moderno Apodaca ll, CP 66636, CD Apodaca NL",,mx,66636,,,https://maps.app.goo.gl/MsAVnNWw8J1B7xp7A?g_st=iw,true,,Alejandro Carranza,,
,La Cava,Valle,"Calz. Del Valle 409 PTE-int 0609, Del Valle, C.P66220 Monterrey NL",,mx,66220,,,https://maps.app.goo.gl/vzinq6Th38QoEnMR6?g_st=iw,true,,Alejandro Carranza,,
,La Cava,Matriz,"Río Tajo 4860, Bernardo Reyes, CP 64280, Monterrey Nl",,mx,64280,,,https://maps.app.goo.gl/poJzavwJLPexVDiP6?g_st=iw,true,,Alejandro Carranza,,
,La Cava,Revolución,"Av Revolución 3725- Local 101, Villa del Río, CP 64850, Monterrey Nl",,mx,64850,,,https://maps.app.goo.gl/U9y3xL1sEXWKVEeq8?g_st=iw,true,,Alejandro Carranza,,
,La Cava,Anahuac,"P. Coyotepec 4-Residencial A 3er Sector , Residencial Anahuac 3er Sector CP 66457, San Nicolas de los Garza",,mx,66457,,,https://maps.app.goo.gl/GixPmgM2FFc6ErZAA?g_st=iw,true,,Alejandro Carranza,,
,La Castellana Cumbres,Cumbres,"3a. Avenida 933, Cumbres 1°, sector a CP 64610, Monterrey NL",,mx,64610,,,"https://www.google.com/maps/place/La+Castellana+Cumbres/@25.7020676,-100.3735875,17z/data=!3m1!4b1!4m6!3m5!1s0x866297fcf8e68009:0x4140fdd32882d4b4!8m2!3d25.7020628!4d-100.3710126!16s%2Fg%2F11lf_93794?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,La Castellana San Agustín,San Agustín,"C.Montes Altos 500, Residencial San Agustín 2oSector, CP 66260, San Pedro NL",,mx,66260,,,"https://www.google.com/maps/place/La+Castellana+San+Agust%C3%ADn/@25.6501577,-100.3426126,17z/data=!3m1!4b1!4m6!3m5!1s0x8662bf62b13d6773:0xb4cb78c16cd6588e!8m2!3d25.6501529!4d-100.3400377!16s%2Fg%2F11vdz0bh7t?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
,La Castellana ,Valle,"Calz. Del Valle 350, Del Valle, CP 66220, San Pedro NL",,mx,66220,,,"https://www.google.com/maps/place/La+Castellana/@25.6546431,-100.3670689,17z/data=!3m2!4b1!5s0x8662bdef0696f943:0x4cc828b0be044d36!4m6!3m5!1s0x8662bdef374bc231:0xf4bf43865954a2fb!8m2!3d25.6546383!4d-100.3624555!16s%2Fg%2F1ptyxn2b7?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",true,,Alejandro Carranza,,
